metabolite,4T1-15_R11+,4T1-15_R11-,4T1-17_R4+,4T1-17_R4-,4T1-19_R15+,4T1-19_R15-,4T1-1_R7+,4T1-1_R7-,4T1-21_R22+,4T1-21_R22-,4T1-25_R16+,4T1-25_R16-,4T1-27_R18+,4T1-27_R18-,CTL-11_R21+,CTL-11_R21-,CTL-12_R14+,CTL-12_R14-,CTL-1_R23+,CTL-1_R23-,CTL-3_R6+,CTL-3_R6-,CTL-4_R20+,CTL-4_R20-,CTL-5_R2+,CTL-5_R2-,CTL-7_R3+,CTL-7_R3-,CTL-8_R13+,CTL-8_R13-,CTL-9_R1+,CTL-9_R1-
Flavin mononucleotide,,67100.0,,40300.0,,49500.0,,104000.0,,29800.0,,34500.0,,43300.0,,65400.0,,24700.0,,74900.0,,84500.0,,30600.0,,104000.0,,58700.0,,25800.0,,65700.0
Fumarate,,4290000.0,,2330000.0,,6950000.0,,4270000.0,,2790000.0,,2120000.0,,6990000.0,,4390000.0,,1530000.0,,5800000.0,,6820000.0,,2380000.0,,6170000.0,,5000000.0,,2100000.0,,5970000.0
GDP,,41100.0,,57500.0,,26300.0,,60200.0,,76900.0,,46900.0,,56400.0,,11900.0,,45600.0,,21700.0,,20000.0,,89800.0,,15300.0,,2490.0,,18500.0,,11400.0
GMP,485000.0,,4110000.0,,1100000.0,,1140000.0,,4060000.0,,2690000.0,,830000.0,,866000.0,,3350000.0,,832000.0,,878000.0,,3850000.0,,850000.0,,771000.0,,2580000.0,,1110000.0,
GTP,,33200.0,,0.0,,0.0,,12500.0,,0.0,,0.0,,6850.0,,8530.0,,0.0,,8420.0,,3530.0,,5680.0,,0.0,,3920.0,,0.0,,0.0
Glutathione,36500000.0,,68100000.0,,46000000.0,,61600000.0,,89500000.0,,48200000.0,,49200000.0,,51200000.0,,36400000.0,,54200000.0,,66100000.0,,36100000.0,,70200000.0,,59100000.0,,21400000.0,,51800000.0,
Glutathione disulfide,691000.0,,3270000.0,,836000.0,,822000.0,,1760000.0,,1620000.0,,646000.0,,271000.0,,3280000.0,,418000.0,,488000.0,,3180000.0,,807000.0,,525000.0,,2520000.0,,468000.0,
Glycerol 3-phosphate,,26100000.0,,2200000.0,,1130000.0,,19900000.0,,1080000.0,,2050000.0,,1310000.0,,1110000.0,,1150000.0,,483000.0,,6910000.0,,674000.0,,3300000.0,,13900000.0,,970000.0,,1260000.0
Guanidinoacetate,629000.0,,519000.0,,540000.0,,687000.0,,649000.0,,417000.0,,806000.0,,412000.0,,222000.0,,583000.0,,476000.0,,303000.0,,750000.0,,266000.0,,315000.0,,592000.0,
Guanine,151000.0,,491000.0,,392000.0,,272000.0,,598000.0,,557000.0,,620000.0,,91100.0,,488000.0,,103000.0,,69300.0,,527000.0,,119000.0,,113000.0,,587000.0,,158000.0,
