Protein_ID,Gene_Symbol,Mean_Delta_Percentile,SD_Delta_Percentile,N_Studies,T_Statistic,P_value,Significant,Direction,FDR_Pvalue,FDR_Significant
P16045,LGALS1,2.705952320455998,2.0137212658831736,6,3.291519320828309,0.021677165174766255,True,Increase,0.5378219671191371,False
P16110,LGALS3,10.273013792425935,12.87166140556108,3,1.3823686993234683,0.3009904066094937,False,Increase,0.6900908676440103,False
P18242,CTSD,11.261309382283939,14.081204517676765,6,1.9589561239299143,0.10743137977817785,False,Increase,0.6191295434007577,False
P19221,F2,7.414748175118245,4.325148081248431,3,2.969313494794017,0.09716955075464218,False,Increase,0.6105331041975713,False
P19324,SERPINH1,-11.020461044509938,11.540082488019893,6,-2.3391952628841683,0.06644664715285487,False,Decrease,0.6088329127612317,False
P21460,CST3,-2.585401366633292,2.767657922955686,4,-1.8682954603524444,0.15852092774218574,False,Decrease,0.6503008986127164,False
P21956,MFGE8,15.327610764073663,12.290917262624088,5,2.788529030729872,0.04938617228035058,True,Increase,0.5594408843831523,False
P21981,TGM2,1.866534180538584,4.996280879877681,6,0.9150919333212905,0.40211956742014565,False,Increase,0.7202801042800411,False
P28654,DCN,11.261406334134197,20.75897064678234,7,1.4352773593610177,0.20121671218424053,False,Increase,0.6658687858288392,False
P29788,VTN,9.81309406291641,10.811573130736912,5,2.0295608353143595,0.11226879865787853,False,Increase,0.6203326841096339,False
P31725,S100A9,0.42445105162856533,2.517272839240255,4,0.33723086747852893,0.7581585051074944,False,Increase,0.8825819895779867,False
P32261,SERPINC1,5.9163222258658505,3.9372208082521545,6,3.680761459170471,0.014282281419990772,True,Increase,0.5378219671191371,False
P37889,FBLN2,-1.5839458337533774,5.380354009076569,4,-0.5887887046396154,0.5973975137708694,False,Decrease,0.815220962765005,False
P39039,MBL1,5.288467389673736,9.959071077506861,4,1.0620402944242553,0.3661359452059254,False,Increase,0.7015768590179302,False
P48036,ANXA5,5.119550658693366,12.85288403072275,6,0.9756788278920687,0.3740334924508806,False,Increase,0.7031023435188959,False
P49182,SERPIND1,4.072745389663297,3.805762754291638,3,1.8535579847256463,0.20497763252682,False,Increase,0.6658687858288392,False
P49935,CTSH,8.160657638231553,17.47234038818523,4,0.9341230146534665,0.4191487133897345,False,Increase,0.7287286388709009,False
P50543,S100A11,1.0830484215296052,3.7717885021304376,5,0.6420746794514444,0.5557729179741706,False,Increase,0.787747701128607,False
P51655,GPC4,-1.3647760472483954,3.296626122709151,4,-0.8279835179652275,0.46839762679863184,False,Decrease,0.7617573679982538,False
P51885,LUM,3.330527207471287,3.39357834594984,6,2.4039793401256575,0.06131845353303156,False,Increase,0.60575199550813,False
