Protein_A,Protein_B,Correlation,P_value,Abs_Correlation
Hcfc1,Sema4f,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Sema6d,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Sema7a,0.7674301821024083,0.0003231442376204719,0.7674301821024083
Hcfc1,Serpina3n,-0.9911504424778762,1.4297397834780768e-14,0.9911504424778762
Hcfc1,Serpinb9b,-0.5938300481671458,0.01195987056982448,0.5938300481671458
Hcfc1,Serpini1,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Slit1,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Slit2,0.5938300481671458,0.01195987056982448,0.5938300481671458
Hcfc1,Spock1,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Spock2,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Spon1,0.7624790196372315,0.00037256575914741306,0.7624790196372315
Hcfc1,Srpx,-0.5485298130021853,0.022606111780429924,0.5485298130021853
Hcfc1,Srpx2,-0.5485298130021853,0.022606111780429924,0.5485298130021853
Hcfc1,Tgm1,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hcfc1,Thbs1,-0.7055406512876979,0.0015551240998089005,0.7055406512876979
Hcfc1,Thbs3,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hcfc1,Thbs4,-0.5530463660695324,0.02129659766032176,0.5530463660695324
Hcfc1,Timp2,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Tnr,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Vcan,-0.5132743362831859,0.035100014186196564,0.5132743362831859
Hcfc1,Vwa1,-0.6739349241323023,0.003012561646782154,0.6739349241323023
Hcfc1,Vwa5a,0.5929203539823009,0.01212448850340704,0.5929203539823009
Hcfc1,Vwa5b2,0.5938300481671458,0.01195987056982448,0.5938300481671458
Hgfac,Hrg,-0.6377603634987047,0.005880667598464436,0.6377603634987047
Hgfac,Hspg2,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,IGFBP3,-0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,Igfals,1.0,0.0,1.0
Hgfac,Igfbp7,0.5370613587357513,0.026213040165845948,0.5370613587357513
Hgfac,LGALS8,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,LOXL1,-0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,Lamc1,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,Lgals3,-1.0,0.0,1.0
Hgfac,Lgals8,0.6377603634987047,0.005880667598464436,0.6377603634987047
Hgfac,Lgals9,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,Lgalsl,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,Lman1,0.5370613587357513,0.026213040165845948,0.5370613587357513
Hgfac,Loxl2,0.6377603634987047,0.005880667598464436,0.6377603634987047
Hgfac,Ltbp1,-0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,M6pr,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,MIF,0.5370613587357513,0.026213040165845948,0.5370613587357513
Hgfac,Masp1,1.0,0.0,1.0
Hgfac,Masp2,-1.0,0.0,1.0
Hgfac,Mbl1,-0.6377603634987047,0.005880667598464436,0.6377603634987047
Hgfac,Mfap4,0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hgfac,Mfap5,0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hgfac,Mgp,1.0,0.0,1.0
Hgfac,Mmp2,0.6377603634987047,0.005880667598464436,0.6377603634987047
Hgfac,Mmrn1,0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hgfac,NGLY1,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,NRP1,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,Ngly1,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,Ntn1,0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hgfac,P3H1,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hgfac,P3h1,1.0,0.0,1.0
Hgfac,P4HA2,0.5065607304015044,0.0379820225393794,0.5065607304015044
Hgfac,P4ha1,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,PDF,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,PLXNA1,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,PLXNB1,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,PLXND1,1.0,0.0,1.0
Hgfac,PXDNL,1.0,0.0,1.0
Hgfac,PXN,1.0,0.0,1.0
Hgfac,Plod1,1.0,0.0,1.0
Hgfac,Plod3,1.0,0.0,1.0
Hgfac,Plxdc2,0.5370613587357513,0.026213040165845948,0.5370613587357513
Hgfac,Plxna1,0.5370613587357513,0.026213040165845948,0.5370613587357513
