Gene_Symbol,Shared_Tissue_Count,Fast_Tissues,Mean_Zscore_Delta,Direction,Function_Category,Pathway_Annotation
Lama4,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.4915716635226528,Downregulated,Structural,Other
Fgg,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.4949858796260845,Downregulated,Structural,Coagulation
Col6a2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.5010972227404388,Downregulated,Structural,Other
Fga,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.5349389416049076,Downregulated,Structural,Coagulation
Col1a2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.5435312340111585,Downregulated,Structural,Other
F13a1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.548006043507505,Downregulated,Regulatory,Other
SERPINH1,3,"Lung, Ovary_Cortex, Skin dermis",-0.5499062542404792,Downregulated,Regulatory,Coagulation
Anxa1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.5499521987140719,Downregulated,Signaling,Other
COL6A1,3,"Lung, Ovary_Cortex, Skin dermis",-0.6124554270148311,Downregulated,Structural,Other
COL5A1,3,"Lung, Ovary_Cortex, Skin dermis",-0.6130879498274,Downregulated,Structural,Other
COL1A2,3,"Lung, Ovary_Cortex, Skin dermis",-0.6187352690888857,Downregulated,Structural,Other
Fgb,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.6217522261207716,Downregulated,Structural,Coagulation
Col1a1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.6217783908397153,Downregulated,Structural,Other
SERPINC1,3,"Lung, Ovary_Cortex, Skin dermis",-0.6706419322251683,Downregulated,Regulatory,Coagulation
Fbn1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.6888081277096592,Downregulated,Structural,Other
Col6a1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.7265443706679547,Downregulated,Structural,Other
COL14A1,3,"Lung, Ovary_Cortex, Skin dermis",-0.7440380550120694,Downregulated,Structural,Other
COL5A2,3,"Lung, Ovary_Cortex, Skin dermis",-0.7668133241569666,Downregulated,Structural,Other
Serpina1e,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.7776991023333082,Downregulated,Regulatory,Coagulation
