Protein_ID,Protein_Name,Gene_Symbol,Tissue,Species,Age,Age_Unit,Abundance,Abundance_Unit,Method,Study_ID,Sample_ID
A0A087WR50,A0A087WR50_MOUSE;Q3UHL6_MOUSE,Fn1,Ovary,Mus musculus,Young,categorical,3675229.75,LFQ,DIA,Dipali_2023,Young_pooled
P07901,HS90A_MOUSE,Hsp90aa1,Ovary,Mus musculus,Old,categorical,7125472.5,LFQ,DIA,Dipali_2023,Old_pooled
P07901,HS90A_MOUSE,Hsp90aa1,Ovary,Mus musculus,Young,categorical,8977616.0,LFQ,DIA,Dipali_2023,Young_pooled
E9QPD7,E9QPD7_MOUSE;G5E8R3_MOUSE;PYC_MOUSE,Pcx;Pcx;Pc,Ovary,Mus musculus,Old,categorical,15604499.0,LFQ,DIA,Dipali_2023,Old_pooled
E9QPD7,E9QPD7_MOUSE;G5E8R3_MOUSE;PYC_MOUSE,Pcx;Pcx;Pc,Ovary,Mus musculus,Young,categorical,11408894.0,LFQ,DIA,Dipali_2023,Young_pooled
Q80ZX8,SPAG1_MOUSE,Spag1,Ovary,Mus musculus,Old,categorical,438144.5,LFQ,DIA,Dipali_2023,Old_pooled
Q80ZX8,SPAG1_MOUSE,Spag1,Ovary,Mus musculus,Young,categorical,178678.703125,LFQ,DIA,Dipali_2023,Young_pooled
E9PYH0,E9PYH0_MOUSE;G3XA35_MOUSE,Vcan,Ovary,Mus musculus,Old,categorical,696685.1875,LFQ,DIA,Dipali_2023,Old_pooled
E9PYH0,E9PYH0_MOUSE;G3XA35_MOUSE,Vcan,Ovary,Mus musculus,Young,categorical,982570.6875,LFQ,DIA,Dipali_2023,Young_pooled
P80314,TCPB_MOUSE,Cct2,Ovary,Mus musculus,Old,categorical,3547880.5,LFQ,DIA,Dipali_2023,Old_pooled
P80314,TCPB_MOUSE,Cct2,Ovary,Mus musculus,Young,categorical,4313789.5,LFQ,DIA,Dipali_2023,Young_pooled
P23953,EST1C_MOUSE,Ces1c,Ovary,Mus musculus,Old,categorical,7898651.0,LFQ,DIA,Dipali_2023,Old_pooled
P23953,EST1C_MOUSE,Ces1c,Ovary,Mus musculus,Young,categorical,5709166.5,LFQ,DIA,Dipali_2023,Young_pooled
Q9CWU5-2,KHDC3_MOUSE,Khdc3,Ovary,Mus musculus,Old,categorical,184763.765625,LFQ,DIA,Dipali_2023,Old_pooled
Q9CWU5-2,KHDC3_MOUSE,Khdc3,Ovary,Mus musculus,Young,categorical,837378.0,LFQ,DIA,Dipali_2023,Young_pooled
P62908,RS3_MOUSE,Rps3,Ovary,Mus musculus,Old,categorical,14520486.0,LFQ,DIA,Dipali_2023,Old_pooled
P62908,RS3_MOUSE,Rps3,Ovary,Mus musculus,Young,categorical,16774926.0,LFQ,DIA,Dipali_2023,Young_pooled
P42932,TCPQ_MOUSE,Cct8,Ovary,Mus musculus,Old,categorical,4422631.5,LFQ,DIA,Dipali_2023,Old_pooled
P42932,TCPQ_MOUSE,Cct8,Ovary,Mus musculus,Young,categorical,5161220.5,LFQ,DIA,Dipali_2023,Young_pooled
P80316,TCPE_MOUSE,Cct5,Ovary,Mus musculus,Old,categorical,2633469.75,LFQ,DIA,Dipali_2023,Old_pooled
P80316,TCPE_MOUSE,Cct5,Ovary,Mus musculus,Young,categorical,3145651.5,LFQ,DIA,Dipali_2023,Young_pooled
Q9CZN7,Q9CZN7_MOUSE,Shmt2,Ovary,Mus musculus,Old,categorical,1236075.25,LFQ,DIA,Dipali_2023,Old_pooled
Q9CZN7,Q9CZN7_MOUSE,Shmt2,Ovary,Mus musculus,Young,categorical,1596133.875,LFQ,DIA,Dipali_2023,Young_pooled
A0A0G2JGX4,A0A0G2JGX4_MOUSE;AT1A3_MOUSE;Q8VCE0_MOUSE,Atp1a3,Ovary,Mus musculus,Old,categorical,5087821.0,LFQ,DIA,Dipali_2023,Old_pooled
A0A0G2JGX4,A0A0G2JGX4_MOUSE;AT1A3_MOUSE;Q8VCE0_MOUSE,Atp1a3,Ovary,Mus musculus,Young,categorical,4415993.5,LFQ,DIA,Dipali_2023,Young_pooled
D3YYU8,OBSL1_MOUSE,Obsl1,Ovary,Mus musculus,Old,categorical,231063.703125,LFQ,DIA,Dipali_2023,Old_pooled
